COL. NUM.,TICKET NUM.,FLORA,FAMILY,GENUS,SPECIES,AUTHORITY,COUNTRY,STATE,COUNTY,GENERAL LOCALITY,ELEVATION,LATITUDE,LONGITUDE,HABITAT,DET DATE,COLLECTION,WITH,DATE,HERBARIA,PROJECT
13,,Flora of Georgia,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Georgia,Dade,"Cloudland Canyon State Park. On trail to Hemlock waterfall, small overhang with ledge, NE facing rock face, about 12 cm to right of JAP 12",478,34.83521,85.48172,,"July 12, 2020",Jessie A. Pelosi 13,"L.A. Riibe, J.B. Pinson ","July 12, 2020",NY,Population Genomics of Vittaria appalachiana
14,,Flora of Georgia,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Georgia,Dade,"Cloudland Canyon State Park. On trail to Hemlock waterfall, small overhang with ledge, NE facing rock face, about 10 cm to left of JAP 12",478,34.83521,85.48172,,"July 12, 2020",Jessie A. Pelosi 14,"L.A. Riibe, J.B. Pinson ","July 12, 2020",NY,Population Genomics of Vittaria appalachiana
15,,Flora of Georgia,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Georgia,Dade,"Cloudland Canyon State Park. On trail to Hemlock waterfall, small overhang with ledge, NE facing rock face, about 32 cm to left of JAP 14",478,34.83521,85.48172,,"July 12, 2020",Jessie A. Pelosi 15,"L.A. Riibe, J.B. Pinson ","July 12, 2020",NY,Population Genomics of Vittaria appalachiana
16,,Flora of Georgia,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Georgia,Dade,"Cloudland Canyon State Park. Upsteam from waterfall across bridge on West Rim Loop Trail, SE rock face. Near Asplenium sp. sporophytes, right most of colony. ",516,34.83198,85.48402,,"July 12, 2020",Jessie A. Pelosi 16,"L.A. Riibe, J.B. Pinson ","July 12, 2020",NY,Population Genomics of Vittaria appalachiana
17,,Flora of Georgia,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Georgia,Dade,"Cloudland Canyon State Park. Upsteam from waterfall across bridge on West Rim Loop Trail, SE rock face. About 64cm to left of JAP 16",516,34.83198,85.48402,,"July 12, 2020",Jessie A. Pelosi 17,"L.A. Riibe, J.B. Pinson ","July 12, 2020",NY,Population Genomics of Vittaria appalachiana
18,,Flora of Georgia,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Georgia,Dade,"Cloudland Canyon State Park. Upsteam from waterfall across bridge on West Rim Loop Trail, SE rock face. About 80 cm to left of JAP 17 ",516,34.83198,85.48402,,"July 12, 2020",Jessie A. Pelosi 18,"L.A. Riibe, J.B. Pinson ","July 12, 2020",NY,Population Genomics of Vittaria appalachiana
19,,Flora of Georgia,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Georgia,Dade,"Cloudland Canyon State Park. Upsteam from waterfall across bridge on West Rim Loop Trail, SE rock face. About 2m to left of JAP 18",516,34.83198,85.48402,,"July 12, 2020",Jessie A. Pelosi 19,"L.A. Riibe, J.B. Pinson ","July 12, 2020",NY,Population Genomics of Vittaria appalachiana
20,,Flora of Georgia,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Georgia,Dade,"Cloudland Canyon State Park. Upsteam from waterfall across bridge on West Rim Loop Trail, SE rock face. Separate alcove, not contigous with 16-19. ",516,34.83198,85.48402,,"July 12, 2020",Jessie A. Pelosi 20,"L.A. Riibe, J.B. Pinson ","July 12, 2020",NY,Population Genomics of Vittaria appalachiana
21,,Flora of Georgia,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Georgia,Dade,"Cloudland Canyon State Park. Upsteam from waterfall across bridge on West Rim Loop Trail, SE rock face. About 32 cm to left of JAP 20",516,34.83198,85.48402,,"July 12, 2020",Jessie A. Pelosi 21,"L.A. Riibe, J.B. Pinson ","July 12, 2020",NY,Population Genomics of Vittaria appalachiana
22,,Flora of Georgia,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Georgia,Dade,"Cloudland Canyon State Park. Upsteam from waterfall across bridge on West Rim Loop Trail, SE rock face. About 32 cm to left of JAP 21",516,34.83198,85.48402,,"July 12, 2020",Jessie A. Pelosi 22,"L.A. Riibe, J.B. Pinson ","July 12, 2020",NY,Population Genomics of Vittaria appalachiana
23,,Flora of Georgia,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Georgia,Dade,"Cloudland Canyon State Park. Upsteam from waterfall across bridge on West Rim Loop Trail, SE rock face. About 32 cm to left of JAP 22",516,34.83198,85.48402,,"July 12, 2020",Jessie A. Pelosi 23,"L.A. Riibe, J.B. Pinson ","July 12, 2020",NY,Population Genomics of Vittaria appalachiana
24,,Flora of Georgia,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Georgia,Raburn,"Tallulah Gorge State Park. On gorge floor, right of river facing downstream on N facing rock on right of Oceana falls. ",357,34.73781,83.38868,,"July 13, 2020",Jessie A. Pelosi 24,"L.A. Riibe, J.B. Pinson ","July 13, 2020",NY,Population Genomics of Vittaria appalachiana
25,,Flora of Georgia,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Georgia,Raburn,"Tallulah Gorge State Park. On gorge floor, right of river facing downstream on N facing rock on right of Oceana falls. About 3m to right of JAP24",357,34.73781,83.38868,,"July 13, 2020",Jessie A. Pelosi 25,"L.A. Riibe, J.B. Pinson ","July 13, 2020",NY,Population Genomics of Vittaria appalachiana
26,,Flora of Georgia,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Georgia,Raburn,"Tallulah Gorge State Park. On gorge floor, right of river facing downstream on N facing rock on right of Oceana falls. About 2m to above of JAP24",357,34.73781,83.38868,,"July 13, 2020",Jessie A. Pelosi 26,"L.A. Riibe, J.B. Pinson ","July 13, 2020",NY,Population Genomics of Vittaria appalachiana
27,,Flora of Georgia,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Georgia,Raburn,"Tallulah Gorge State Park. On gorge floor, right of river facing downstream on N facing rock on right of Oceana falls. About 36cm in back of JAP26. ",357,34.73781,83.38868,,"July 13, 2020",Jessie A. Pelosi 27,"L.A. Riibe, J.B. Pinson ","July 13, 2020",NY,Population Genomics of Vittaria appalachiana
28,,Flora of Georgia,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Georgia,Raburn,Tallulah Gorge State Park. On gorge floor between Bridal Veil and Oceana falls. On left of river facing downstream on S facing rocks about 2m above water line and 5m from river. Rightmost portion of colony. ,331,34.73663,83.38634,,"July 13, 2020",Jessie A. Pelosi 28,"L.A. Riibe, J.B. Pinson ","July 13, 2020",NY,Population Genomics of Vittaria appalachiana
29,,Flora of Georgia,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Georgia,Raburn,Tallulah Gorge State Park. On gorge floor between Bridal Veil and Oceana falls. On left of river facing downstream on S facing rocks about 2m above water line and 5m from river. Leftmost portion of colony. ,331,34.73663,83.38634,,"July 13, 2020",Jessie A. Pelosi 29,"L.A. Riibe, J.B. Pinson ","July 13, 2020",NY,Population Genomics of Vittaria appalachiana
30,,Flora of Tenessee,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Tennessee,Sevier,"Great Smokey Mountains National Park. About 3.5 miles in on Ramsey Cascades Trail. Large stone outcrop along stone steps on right of trail, N facing rock outcrop. Leftmost portion of colony. ",1010,35.27286,83.74509,,"July 14, 2020",Jessie A. Pelosi 30,"L.A. Riibe, J.B. Pinson ","July 14, 2020",NY,Population Genomics of Vittaria appalachiana
31,,Flora of Tenessee,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Tennessee,Sevier,"Great Smokey Mountains National Park. About 3.5 miles in on Ramsey Cascades Trail. Large stone outcrop along stone steps on right of trail, N facing rock outcrop. About 16 cm to right of JAP30. ",1010,35.27286,83.74509,,"July 14, 2020",Jessie A. Pelosi 31,"L.A. Riibe, J.B. Pinson ","July 14, 2020",NY,Population Genomics of Vittaria appalachiana
32,,Flora of Tenessee,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Tennessee,Sevier,"Great Smokey Mountains National Park. About 3.5 miles in on Ramsey Cascades Trail. Large stone outcrop along stone steps on right of trail, N facing rock outcrop. About 16cm to right of JAP31. ",1010,35.27286,83.74509,,"July 14, 2020",Jessie A. Pelosi 32,"L.A. Riibe, J.B. Pinson ","July 14, 2020",NY,Population Genomics of Vittaria appalachiana
33,,Flora of Tenessee,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Tennessee,Sevier,"Great Smokey Mountains National Park. About 3.5 miles in on Ramsey Cascades Trail. Large stone outcrop along stone steps on right of trail, N facing rock outcrop. About 16cm to right of JAP32. ",1010,35.27286,83.74509,,"July 14, 2020",Jessie A. Pelosi 33,"L.A. Riibe, J.B. Pinson ","July 14, 2020",NY,Population Genomics of Vittaria appalachiana
34,,Flora of Tenessee,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Tennessee,Sevier,Great Smokey Mountains National Park. About 5m north of Ramsey Cascades off of trail. In horizontal crack in rocks. ,1314,35.70866,83.30025,,"July 14, 2020",Jessie A. Pelosi 34,"L.A. Riibe, J.B. Pinson ","July 14, 2020",NY,Population Genomics of Vittaria appalachiana
35,,Flora of Tenessee,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Tennessee,Sevier,Great Smokey Mountains National Park. About 5m north of Ramsey Cascades off of trail. In horizontal crack in rocks. About 35 cm to left of JAP34. ,1314,35.70866,83.30025,,"July 14, 2020",Jessie A. Pelosi 35,"L.A. Riibe, J.B. Pinson ","July 14, 2020",NY,Population Genomics of Vittaria appalachiana
36,,Flora of Tenessee,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Tennessee,Sevier,"Great Smokey Mountains National Park. About 5m north of Ramsey Cascades off of trail. In horizontal crack in rocks. Left most of central colony, not contiguous with JAP34 and JAP35. ",1314,35.70866,83.30025,,"July 14, 2020",Jessie A. Pelosi 36,"L.A. Riibe, J.B. Pinson ","July 14, 2020",NY,Population Genomics of Vittaria appalachiana
37,,Flora of Tenessee,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Tennessee,Sevier,Great Smokey Mountains National Park. About 5m north of Ramsey Cascades off of trail. In horizontal crack in rocks. About 10 cm to right of JAP36. ,1314,35.70866,83.30025,,"July 14, 2020",Jessie A. Pelosi 37,"L.A. Riibe, J.B. Pinson ","July 14, 2020",NY,Population Genomics of Vittaria appalachiana
38,,Flora of Tenessee,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Tennessee,Sevier,Great Smokey Mountains National Park. About 5m north of Ramsey Cascades off of trail. In horizontal crack in rocks. About 5cm to right and down from JAP37 on adjacent rock face. ,1314,35.70866,83.30025,,"July 14, 2020",Jessie A. Pelosi 38,"L.A. Riibe, J.B. Pinson ","July 14, 2020",NY,Population Genomics of Vittaria appalachiana
39,,Flora of Tenessee,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Tennessee,Sevier,Great Smokey Mountains National Park. About 5m north of Ramsey Cascades off of trail. In horizontal crack in rocks. About 0.5m to right of JAP38. ,1314,35.70866,83.30025,,"July 14, 2020",Jessie A. Pelosi 39,"L.A. Riibe, J.B. Pinson ","July 14, 2020",NY,Population Genomics of Vittaria appalachiana
40,,Flora of Tenessee,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Tennessee,Sevier,Great Smokey Mountains National Park. About 5m north of Ramsey Cascades off of trail. In horizontal crack in rocks. About 16cm to right of JAP39. ,1314,35.70866,83.30025,,"July 14, 2020",Jessie A. Pelosi 40,"L.A. Riibe, J.B. Pinson ","July 14, 2020",NY,Population Genomics of Vittaria appalachiana
41,,Flora of Tenessee,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Tennessee,Sevier,Great Smokey Mountains National Park. About 5m north of Ramsey Cascades off of trail. In horizontal crack in rocks. About 16cm to right of JAP40. ,1314,35.70866,83.30025,,"July 14, 2020",Jessie A. Pelosi 41,"L.A. Riibe, J.B. Pinson ","July 14, 2020",NY,Population Genomics of Vittaria appalachiana
42,,Flora of Tenessee,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Tennessee,Sevier,Great Smokey Mountains National Park. About 5m north of Ramsey Cascades off of trail. In horizontal crack in rocks. About 16cm to right of JAP41. ,1314,35.70866,83.30025,,"July 14, 2020",Jessie A. Pelosi 42,"L.A. Riibe, J.B. Pinson ","July 14, 2020",NY,Population Genomics of Vittaria appalachiana
43,,Flora of Tenessee,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Tennessee,Sevier,Great Smokey Mountains National Park. About 5m north of Ramsey Cascades off of trail. In horizontal crack in rocks. About 16cm to right of JAP42. ,1314,35.70866,83.30025,,"July 14, 2020",Jessie A. Pelosi 43,"L.A. Riibe, J.B. Pinson ","July 14, 2020",NY,Population Genomics of Vittaria appalachiana
44,,Flora of Kentucky,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Kentucky,Bell,"Pine Mountain State Resort Park, Laurel Cave Amphitheater. In between two large rocks adjacent to parking lot. Outermost colony of rightfacing rockface. ",359,35.70972,83.31578,,"July 15, 2020",Jessie A. Pelosi 44,,"July 15, 2020",NY,Population Genomics of Vittaria appalachiana
45,,Flora of Kentucky,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Kentucky,Bell,"Pine Mountain State Resort Park, Laurel Cave Amphitheater. In between two large rocks adjacent to parking lot. Upper left part of large colony on right facing rock, not contiguous with JAP44. ",359,35.70972,83.31578,,"July 15, 2020",Jessie A. Pelosi 45,,"July 15, 2020",NY,Population Genomics of Vittaria appalachiana
46,,Flora of Kentucky,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Kentucky,Bell,"Pine Mountain State Resort Park, Laurel Cave Amphitheater. In between two large rocks adjacent to parking lot. About 16 cm to right of JAP45. ",359,35.70972,83.31578,,"July 15, 2020",Jessie A. Pelosi 46,,"July 15, 2020",NY,Population Genomics of Vittaria appalachiana
47,,Flora of Kentucky,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Kentucky,Bell,"Pine Mountain State Resort Park, Laurel Cave Amphitheater. In between two large rocks adjacent to parking lot. About 16 cm to right of JAP46. ",359,35.70972,83.31578,,"July 15, 2020",Jessie A. Pelosi 47,,"July 15, 2020",NY,Population Genomics of Vittaria appalachiana
48,,Flora of Kentucky,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Kentucky,Bell,"Pine Mountain State Resort Park, Laurel Cave Amphitheater. In between two large rocks adjacent to parking lot. About 16 cm below JAP46.",359,35.70972,83.31578,,"July 15, 2020",Jessie A. Pelosi 48,,"July 15, 2020",NY,Population Genomics of Vittaria appalachiana
49,,Flora of Kentucky,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Kentucky,Bell,"Pine Mountain State Resort Park, Laurel Cave Amphitheater. In between two large rocks adjacent to parking lot. On left facing rock about same heigh as adjacent colony but not contiugous with JAP4548. ",359,35.70972,83.31578,,"July 15, 2020",Jessie A. Pelosi 49,,"July 15, 2020",NY,Population Genomics of Vittaria appalachiana
50,,Flora of Kentucky,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Kentucky,Bell,"Pine Mountain State Resort Park, Laurel Cave Amphitheater. In between two large rocks adjacent to parking lot. About 16 cm to right of JAP49. ",359,35.70972,83.31578,,"July 15, 2020",Jessie A. Pelosi 50,,"July 15, 2020",NY,Population Genomics of Vittaria appalachiana
51,,Flora of Virginia,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Virginia,Dickenson,"Breaks Interstate Park. On Laurel Branch Trail adjacent to water/electric facility. On left side of trail heading north, near bottom of stone outcrop. ",533,37.28915,82.30083,,"July 15, 2020",Jessie A. Pelosi 51,,"July 15, 2020",NY,Population Genomics of Vittaria appalachiana
52,,Flora of Virginia,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Virginia,Dickenson,"Breaks Interstate Park. On Laurel Branch Trail, heading north. Across river on right of logs. Large stone outcrop with large colony in crevice along top of rightmost portion of northfacing rock house. ",577,37.2893,82.29983,,"July 15, 2020",Jessie A. Pelosi 52,,"July 15, 2020",NY,Population Genomics of Vittaria appalachiana
53,,Flora of Virginia,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Virginia,Dickenson,"Breaks Interstate Park. On Laurel Branch Trail, heading north. Across river on right of logs. Large stone outcrop with large colony in crevice along top of rightmost portion of northfacing rock house. About 16 cm to right of JAP 52. ",577,37.2893,82.29983,,"July 15, 2020",Jessie A. Pelosi 53,,"July 15, 2020",NY,Population Genomics of Vittaria appalachiana
54,,Flora of Virginia,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Virginia,Dickenson,"Breaks Interstate Park. On Laurel Branch Trail, heading north. Across river on right of logs. Large stone outcrop with large colony in crevice along top of rightmost portion of northfacing rock house. About 16 cm to right of JAP 53. ",577,37.2893,82.29983,,"July 15, 2020",Jessie A. Pelosi 54,,"July 15, 2020",NY,Population Genomics of Vittaria appalachiana
55,,Flora of Virginia,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Virginia,Dickenson,"Breaks Interstate Park. On Laurel Branch Trail, heading north. Across river on right of logs. Large stone outcrop with large colony in crevice along top of rightmost portion of northfacing rock house. About 16 cm to right of JAP 54. ",577,37.2893,82.29983,,"July 15, 2020",Jessie A. Pelosi 55,,"July 15, 2020",NY,Population Genomics of Vittaria appalachiana
56,,Flora of Virginia,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Virginia,Dickenson,"Breaks Interstate Park. On Laurel Branch Trail, heading north. Across river on right of logs. Large stone outcrop with large colony in crevice along top of rightmost portion of northfacing rock house. About 32 cm to right of JAP 55. ",577,37.2893,82.29983,,"July 15, 2020",Jessie A. Pelosi 56,,"July 15, 2020",NY,Population Genomics of Vittaria appalachiana
57,,Flora of Virginia,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Virginia,Dickenson,"Breaks Interstate Park. On Laurel Branch Trail, heading north. Across river on right of logs. Large stone outcrop with large colony in crevice along top of rightmost portion of northfacing rock house. About 16 cm to right of JAP 56. ",577,37.2893,82.29983,,"July 15, 2020",Jessie A. Pelosi 57,,"July 15, 2020",NY,Population Genomics of Vittaria appalachiana
58,,Flora of Virginia,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Virginia,Dickenson,"Breaks Interstate Park. On Laurel Branch Trail, heading north. Across river on right of logs. Large stone outcrop with large colony in crevice along top of rightmost portion of northfacing rock house. Small colony on rock house, exposed. ",577,37.2893,82.29983,,"July 15, 2020",Jessie A. Pelosi 58,,"July 15, 2020",NY,Population Genomics of Vittaria appalachiana
59,,Flora of Virginia,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Virginia,Dickenson,"Breaks Interstate Park. On Laurel Branch Trail, heading north. Across river on right of logs. Large stone outcrop with large colony in crevice along top of rightmost portion of northfacing rock house. Small colony on rock house, exposed. About 5m down and left of JAP58 toward back of rockhouse. ",577,37.2893,82.29983,,"July 15, 2020",Jessie A. Pelosi 59,,"July 15, 2020",NY,Population Genomics of Vittaria appalachiana
60,,Flora of Virginia,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Virginia,Dickenson,"Breaks Interstate Park. On Laurel Branch Trail, heading north. Across river on right of logs. Colonies along outside of rock house. ",578,37.28985,82.29958,,"July 15, 2020",Jessie A. Pelosi 60,,"July 15, 2020",NY,Population Genomics of Vittaria appalachiana
61,,Flora of Virginia,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Virginia,Dickenson,"Breaks Interstate Park. On Laurel Branch Trail, heading north. Across river on right of logs. Colonies along outside of rock house. About 1m to left of JAP60. ",578,37.28985,82.29958,,"July 15, 2020",Jessie A. Pelosi 61,,"July 15, 2020",NY,Population Genomics of Vittaria appalachiana
62,,Flora of Virginia,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Virginia,Dickenson,"Breaks Interstate Park. On Laurel Branch Trail, heading north. Across river on right of logs. Colonies along outside of rock house. About 1m to left of JAP61.",578,37.28985,82.29958,,"July 15, 2020",Jessie A. Pelosi 62,,"July 15, 2020",NY,Population Genomics of Vittaria appalachiana
63,,Flora of Virginia,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Virginia,Dickenson,"Breaks Interstate Park. On Laurel Branch Trail, heading north. Across river on right of logs. Colonies along outside of rock house. About 1m to left of JAP62.",578,37.28985,82.29958,,"July 15, 2020",Jessie A. Pelosi 63,,"July 15, 2020",NY,Population Genomics of Vittaria appalachiana
64,,Flora of Virginia,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Virginia,Dickenson,"Breaks Interstate Park. On Laurel Branch Trail, heading north. Across river on right of logs. Colonies along outside of rock house. About 1m to left of JAP63. ",578,37.28985,82.29958,,"July 15, 2020",Jessie A. Pelosi 64,,"July 15, 2020",NY,Population Genomics of Vittaria appalachiana
65,,Flora of Virginia,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Virginia,Dickenson,"Breaks Interstate Park. On Laurel Branch Trail, heading north. Across river on right of logs. Colonies along outside of rock house. About 1m to left of JAP64. ",578,37.28985,82.29958,,"July 15, 2020",Jessie A. Pelosi 65,,"July 15, 2020",NY,Population Genomics of Vittaria appalachiana
66,,Flora of West Virigina,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,West Virginia,Barbour,"Audra State Park. Stone outcrop beginning of Alum Cave Trail, heading down from picnic area parking lot, across from river. ",555,39.04024,80.06573,,"July 16, 2020",Jessie A. Pelosi 66,,"July 16, 2020",NY,Population Genomics of Vittaria appalachiana
67,,Flora of West Virigina,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,West Virginia,Barbour,"Audra State Park. Stone outcrop beginning of Alum Cave Trail, heading down from picnic area parking lot, across from river. ",555,39.04024,80.06573,,"July 16, 2020",Jessie A. Pelosi 67,,"July 16, 2020",NY,Population Genomics of Vittaria appalachiana
68,,Flora of West Virigina,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,West Virginia,Barbour,"Audra State Park. On stone outcrop along Alum Cave Trail, a few meters east off trail away from river. Very abundant, but mixed with other gametophytes. ",546,39.04049,80.06519,,"July 16, 2020",Jessie A. Pelosi 68,,"July 16, 2020",NY,Population Genomics of Vittaria appalachiana
69,,Flora of West Virigina,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,West Virginia,Barbour,"Audra State Park. On stone outcrop along Alum Cave Trail, a few meters east off trail away from river. Very abundant, but mixed with other gametophytes. About 1 m to left of JAP68. ",546,39.04049,80.06519,,"July 16, 2020",Jessie A. Pelosi 69,,"July 16, 2020",NY,Population Genomics of Vittaria appalachiana
73,,Flora of Pennsylvania,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Pennsylvania,Lawrence,McConnells Mill State Park. About twothirds to Slippery Creek heading north from Hells Hollow parking lot. Large rock overhang on trail to left. ,288,40.92494,80.2224,,"July 17, 2020",Jessie A. Pelosi 73,,"July 17, 2020",NY,Population Genomics of Vittaria appalachiana
74,,Flora of Pennsylvania,Pteridaceae,Vittaria,appalachiana,Farrar & Mickel,USA,Pennsylvania,Lawrence,"McConnells Mill State Park. Slightly upstream on Slippery Rock Creek of intersetion between Slippery Rock Creek and Hell Run. On underside of large rock outcrop overlooking river, southfacing. Middle of colony. ",281,40.91608,80.21503,,"July 17, 2020",Jessie A. Pelosi 74,,"July 17, 2020",NY,Population Genomics of Vittaria appalachiana
